"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"IFNAR2","IFNAR2","AMPL22100663",153,158,174,170,210,186,177,176,0,"interferon__alpha__beta_and_omega__receptor_2","5433","3455","204785_x_at,204786_s_at,227125_at","HEPATITIS_B_VIRUS__SUSCEPTIBILITY_TO"
"IFNB1","IFNB1","AMPL11834732",2,7,145,164,43,26,224,243,0,"interferon__beta_1__fibroblast","5434","3456","208173_at","."
"IFNE","IFNE","AMPL16507637",71,98,67,65,89,70,73,58,0,"interferon__epsilon","18163","338376","1553574_at","."
"IFNGR1","IFNGR1","AMPL4658486",164,174,175,160,140,167,171,202,0,"interferon_gamma_receptor_1","5439","3459","202727_s_at,211676_s_at","ATYPICAL_MYCOBACTERIOSIS__FAMILIAL,HELICOBACTER_PYLORI_INFECTION__SUSCEPTIBILITY_TO"
"IFNGR2","IFNGR2","AMPL29122028",180,185,228,194,163,235,185,228,0,"interferon_gamma_receptor_2__interferon_gamma_transducer_1","5440","3460","201642_at","ATYPICAL_MYCOBACTERIOSIS__FAMILIAL"
"IFRD1","IFRD1","AMPL48218",8,11,4,8,11,13,4,6,0,"interferon-related_developmental_regulator_1","5456","3475","202146_at,202147_s_at,230048_at","."
"IFRD2","IFRD2","AMPL13263118",235,233,212,180,217,181,242,256,0,"interferon-related_developmental_regulator_2","5457","7866","209100_at,211728_s_at","."
"IFT122","IFT122","AMPL17892303",55,50,51,39,50,50,49,40,0,"intraflagellar_transport_122_homolog__Chlamydomonas","13556","101927266,55764","220744_s_at","CRANIOECTODERMAL_DYSPLASIA_1__CED1"
"IFT140","IFT140","AMPL25739596",56,49,41,40,45,47,46,16,0,"intraflagellar_transport_140_homolog__Chlamydomonas","29077","9742","204792_s_at,244585_at","MAINZER-SALDINO_SYNDROME__MZSDS"
"IFT172","IFT172","AMPL31059331",50,45,34,37,43,58,48,50,0,"intraflagellar_transport_172_homolog__Chlamydomonas","30391","26160","226324_s_at","."
"IFT20","IFT20","AMPL15744993",302,291,268,255,294,289,333,356,0,"intraflagellar_transport_20_homolog__Chlamydomonas","30989","90410","210312_s_at","."
"IFT27","IFT27","AMPL9506383",29,31,19,13,36,21,22,18,0,"intraflagellar_transport_27_homolog__Chlamydomonas","18626","11020","205037_at,213784_at,243812_at","."
"IFT43","IFT43","AMPL4188432",225,228,217,204,330,241,248,313,0,"intraflagellar_transport_43_homolog__Chlamydomonas","29669","112752","1568699_at,226195_at,226196_s_at","CRANIOECTODERMAL_DYSPLASIA_3__CED3"
"IFT46","IFT46","AMPL31028407",79,86,69,61,67,79,92,92,0,"intraflagellar_transport_46_homolog__Chlamydomonas","26146","56912","218483_s_at","."
"IFT52","IFT52","AMPL30610726",185,178,131,121,205,228,191,231,0,"intraflagellar_transport_52_homolog__Chlamydomonas","15901","51098","218709_s_at,233532_x_at","."
"IFT57","IFT57","AMPL32322365",56,77,37,31,44,51,44,36,0,"intraflagellar_transport_57_homolog__Chlamydomonas","17367","55081","218100_s_at,222519_s_at,222520_s_at","."
"IFT74","IFT74","AMPL13994607",215,197,166,150,278,189,171,169,0,"intraflagellar_transport_74_homolog__Chlamydomonas","21424","80173","219174_at,61732_r_at","."
"IFT80","IFT80","AMPL36930984",107,77,53,58,75,81,66,73,0,"intraflagellar_transport_80_homolog__Chlamydomonas","29262","57560","1558956_s_at,226098_at","ASPHYXIATING_THORACIC_DYSTROPHY_2__ATD2"
"IFT81","IFT81","AMPL4196076",16,18,8,9,15,12,14,15,0,"intraflagellar_transport_81_homolog__Chlamydomonas","14313","28981","219372_at,223736_at","."
"IFT88","IFT88","AMPL13560833",40,62,32,38,41,69,80,55,0,"intraflagellar_transport_88_homolog__Chlamydomonas","20606","8100","204703_at","."
"IGBP1","IGBP1","AMPL8813312",487,543,454,449,561,661,920,918,0,"immunoglobulin__CD79A__binding_protein_1","5461","3476","202105_at","CORPUS_CALLOSUM__AGENESIS_OF__WITH_MENTAL_RETARDATION__OCULAR_COLOBOMA_"
"IGF1R","IGF1R","AMPL1833765",893,956,1221,1244,1138,1174,823,1041,0,"insulin-like_growth_factor_1_receptor","5465","3480","203627_at,203628_at,208441_at,225330_at,243358_at","INSULIN-LIKE_GROWTH_FACTOR_I__RESISTANCE_TO"
"IGF2BP1","IGF2BP1","AMPL13731053",433,357,462,485,468,536,402,341,0,"insulin-like_growth_factor_2_mRNA_binding_protein_1","28866","10642","223689_at,227377_at","."
"IGF2BP2","IGF2BP2","AMPL12039255",62,97,99,99,96,94,52,61,0,"insulin-like_growth_factor_2_mRNA_binding_protein_2","28867","10644","218847_at,223963_s_at","."
"IGF2BP3","IGF2BP3","AMPL12665155",277,238,220,298,284,299,177,237,0,"insulin-like_growth_factor_2_mRNA_binding_protein_3","28868","10643","1569033_at,203819_s_at,203820_s_at,216493_s_at","."
"IGF2R","IGF2R","AMPL6086979",168,173,83,75,132,116,66,76,0,"insulin-like_growth_factor_2_receptor","5467","3482","201392_s_at,201393_s_at","."
"IGFBP1","IGFBP1","AMPL5953709",45,44,54,67,85,113,116,87,0,"insulin-like_growth_factor_binding_protein_1","5469","3484","205302_at","."
"IGFBP2","IGFBP2","AMPL6412168",342,355,343,307,383,484,440,334,0,"insulin-like_growth_factor_binding_protein_2__36kDa","5471","3485","202718_at","."
"IGFBP3","IGFBP3","AMPL2607439",255,246,364,416,437,490,427,436,0,"insulin-like_growth_factor_binding_protein_3","5472","3486","210095_s_at,212143_s_at","."
"IGFBP4","IGFBP4","AMPL9851377",2218,2532,2340,1918,2709,1957,2091,2477,0,"insulin-like_growth_factor_binding_protein_4","5473","3487","201508_at","."
"IGFBP5","IGFBP5","AMPL5158686",5,15,7,7,17,13,3,3,0,"insulin-like_growth_factor_binding_protein_5","5474","3488","1555997_s_at,203424_s_at,203425_s_at,203426_s_at,211958_at,211959_at","."
"IGFBP6","IGFBP6","AMPL9062567",996,908,1345,1256,1358,1114,1433,1762,0,"insulin-like_growth_factor_binding_protein_6","5475","3489","203851_at","."
"IGFBP7","IGFBP7","AMPL7229297",279,337,155,103,362,327,175,184,0,"insulin-like_growth_factor_binding_protein_7","5476","3490","201162_at,201163_s_at,213910_at","RETINAL_ARTERIAL_MACROANEURYSM_WITH_SUPRAVALVULAR_PULMONIC_STENOSIS_"
"IGFBPL1","IGFBPL1","AMPL45410",12,9,12,10,14,16,7,4,0,"insulin-like_growth_factor_binding_protein-like_1","20081","347252",".","."
"IGHMBP2","IGHMBP2","AMPL8213989",17,24,28,47,20,35,28,17,0,"immunoglobulin_mu_binding_protein_2","5542","3508","215980_s_at,243746_at,31861_at","SPINAL_MUSCULAR_ATROPHY__DISTAL__AUTOSOMAL_RECESSIVE__1__DSMA1"
"IGIP","IGIP","AMPL244844",27,23,15,10,19,23,9,13,0,"IgA-inducing_protein","33847","492311","226977_at,241685_x_at,241874_at","."
"IGSF10","IGSF10","AMPL15702561",14,14,13,7,5,9,7,8,0,"immunoglobulin_superfamily__member_10","26384","285313","1556579_s_at,230670_at","."
"IGSF11","IGSF11","AMPL894381",23,10,17,16,15,13,14,16,0,"immunoglobulin_superfamily__member_11","16669","152404","228375_at","."
"IGSF3","IGSF3","AMPL7406630",171,162,130,110,163,148,66,73,0,"immunoglobulin_superfamily__member_3","5950","3321","1552672_a_at,1556163_a_at,202421_at","."
"IGSF8","IGSF8","AMPL6725413",34,37,47,38,46,35,53,67,0,"immunoglobulin_superfamily__member_8","17813","93185","225025_at","."
"IK","IK","AMPL27326767",318,318,295,272,289,322,360,327,0,"IK_cytokine__down-regulator_of_HLA_II","5958","3550","200066_at","."
"IKBIP","IKBIP","AMPL16258616",452,529,371,365,582,815,249,485,0,"IKBKB_interacting_protein","26430","121457","227295_at,235202_x_at,236249_at","."
"IKBKAP","IKBKAP","AMPL9445057",304,260,259,299,293,301,135,243,0,"inhibitor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells__kinase_complex-associated_protein","5959","8518","202490_at,202491_s_at","NEUROPATHY__HEREDITARY_SENSORY_AND_AUTONOMIC__TYPE_III__HSAN3"
"IKBKB","IKBKB","AMPL11730306",117,95,100,71,79,82,81,69,0,"inhibitor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells__kinase_beta","5960","3551","209341_s_at,209342_s_at,211027_s_at","."
"IKBKE","IKBKE","AMPL25769723",27,19,58,44,22,22,21,23,0,"inhibitor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells__kinase_epsilon","14552","9641","204549_at,214398_s_at","."
"IKBKG","IKBKG","AMPL2959416",5,7,7,14,13,14,11,14,0,"inhibitor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells__kinase_gamma","5961","8517","1552607_at,209929_s_at,36004_at","ATYPICAL_MYCOBACTERIOSIS__FAMILIAL__X-LINKED_1__AMCBX1,ECTODERMAL_DYSPLASIA__ANHIDROTIC__WITH_IMMUNODEFICIENCY__OSTEOPETROSIS_,ECTODERMAL_DYSPLASIA__HYPOHIDROTIC__WITH_IMMUNE_DEFICIENCY,IMMUNODEFICIENCY_WITHOUT_ANHIDROTIC_ECTODERMAL_DYSPLASIA,INCONTINENTIA_PIGMENTI__IP,INVASIVE_PNEUMOCOCCAL_DISEASE__RECURRENT_ISOLATED__2__IPD2"
"IKZF5","IKZF5","AMPL35095222",115,124,123,97,178,162,140,124,0,"IKAROS_family_zinc_finger_5__Pegasus","14283","64376","220086_at,226680_at","."
"IL11","IL11","AMPL6410035",16,28,39,24,38,36,24,17,0,"interleukin_11","5966","3589","206924_at,206926_s_at","."
"IL11RA","IL11RA","AMPL2085082",14,18,18,11,17,10,8,15,0,"interleukin_11_receptor__alpha","5967","3590","1552646_at,203179_at,204773_at","CRANIOSYNOSTOSIS_AND_DENTAL_ANOMALIES__CRSDA"
"IL12A","IL12A","AMPL2517100",5,8,34,33,33,20,44,32,0,"interleukin_12A__natural_killer_cell_stimulatory_factor_1__cytotoxic_lymphocyte_maturation_factor_1__p35","5969","3592","207160_at","."
"IL13RA1","IL13RA1","AMPL7230839",172,214,154,144,229,247,191,172,0,"interleukin_13_receptor__alpha_1","5974","3597","201887_at,201888_s_at,210904_s_at,211612_s_at","."
"IL15","IL15","AMPL3216223",13,17,16,7,23,13,5,15,0,"interleukin_15","5977","3600","205992_s_at,217371_s_at","."
"IL15RA","IL15RA","AMPL7849316",12,10,24,15,25,26,31,31,0,"interleukin_15_receptor__alpha","5978","3601","207375_s_at","."
"IL17RA","IL17RA","AMPL24418284",57,68,68,61,80,53,42,48,0,"interleukin_17_receptor_A","5985","23765","205707_at,228685_at,229101_at,229295_at","CANDIDIASIS__FAMILIAL__5__CANDF5"
"IL17RB","IL17RB","AMPL31195424",12,7,19,8,5,5,12,15,0,"interleukin_17_receptor_B","18015","55540","219255_x_at,224156_x_at,224361_s_at","."
"IL18","IL18","AMPL8465094",1036,1011,817,747,1092,840,974,1124,0,"interleukin_18__interferon-gamma-inducing_factor","5986","3606","206295_at","."
"IL1R1","IL1R1","AMPL3361570",77,77,61,48,90,92,51,81,0,"interleukin_1_receptor__type_I","5993","3554","202948_at,215561_s_at","."
"IL1RAP","IL1RAP","AMPL6705904",13,10,8,15,12,20,9,12,0,"interleukin_1_receptor_accessory_protein","5995","3556","205227_at,210233_at","."
"IL22RA1","IL22RA1","AMPL36318463",9,9,13,14,15,22,9,13,0,"interleukin_22_receptor__alpha_1","13700","58985","220056_at","."
"IL27RA","IL27RA","AMPL27652210",26,32,41,32,32,43,30,33,0,"interleukin_27_receptor__alpha","17290","9466","205926_at,222062_at","."
"IL28A","IL28A","AMPL17704338",4,11,619,641,106,71,673,663,0,".",".",".",".","."
"IL28B","IL28B","AMPL16036602",2,6,208,199,39,26,220,203,0,".",".",".",".","."
"IL29","IL29","AMPL16245275",7,2,344,399,72,38,368,367,0,".",".",".",".","."
"IL32","IL32","AMPL1098848",73,90,205,128,168,191,174,171,0,"interleukin_32","16830","9235","203828_s_at","."
"IL4R","IL4R","AMPL5534531",15,20,37,41,37,22,19,14,0,"interleukin_4_receptor","6015","3566","203233_at","."
"IL6","IL6","AMPL3050298",1,4,19,24,10,12,26,35,0,"interleukin_6__interferon__beta_2","6018","3569","205207_at","KAPOSI_SARCOMA__SUSCEPTIBILITY_TO,RHEUMATOID_ARTHRITIS__SYSTEMIC_JUVENILE"
"IL6R","IL6R","AMPL4985060",27,18,28,33,36,32,20,25,0,"interleukin_6_receptor","6019","3570","205945_at,217489_s_at,226333_at","INTERLEUKIN_6__SERUM_LEVEL_OF__QUANTITATIVE_TRAIT_LOCUS,SOLUBLE_INTERLEUKIN-6_RECEPTOR__SERUM_LEVEL_OF__QUANTITATIVE_TRAIT"
"IL6ST","IL6ST","AMPL9782433",27,35,30,23,31,24,10,18,1,"interleukin_6_signal_transducer__gp130__oncostatin_M_receptor","6021","3572","204863_s_at,204864_s_at,211000_s_at,212195_at,212196_at,234967_at","."
"IL8","IL8","AMPL5817994",77,91,524,589,171,141,841,914,0,"interleukin_8","6025","3576","202859_x_at,211506_s_at","."
"ILF2","ILF2","AMPL30325993",803,816,723,684,795,798,1138,1033,0,"interleukin_enhancer_binding_factor_2","6037","3608","200052_s_at","."
"ILF3","ILF3","AMPL12220890",277,237,238,280,219,284,232,246,0,"interleukin_enhancer_binding_factor_3__90kDa","6038","3609","208930_s_at,208931_s_at,211375_s_at,217804_s_at,217805_at","."
"ILK","ILK","AMPL27452450",394,426,308,293,411,379,379,359,0,"integrin-linked_kinase","6040","3611","201234_at","."
"ILKAP","ILKAP","AMPL14115841",257,232,267,358,303,316,317,338,0,"integrin-linked_kinase-associated_serine_threonine_phosphatase","15566","80895","221548_s_at","."
"ILVBL","ILVBL","AMPL12141080",35,38,26,26,24,29,25,22,0,"ilvB__bacterial_acetolactate_synthase_-like","6041","10994","202993_at,210624_s_at","."
"IMMP1L","IMMP1L","AMPL35741523",25,37,29,22,37,23,46,31,0,"IMP1_inner_mitochondrial_membrane_peptidase-like__S._cerevisiae","26317","196294","229025_s_at,230556_at","."
"IMMT","IMMT","AMPL12031839",657,751,636,634,662,669,961,979,0,"inner_membrane_protein__mitochondrial","6047","10989","200955_at","."
"IMP4","IMP4","AMPL16627930",269,275,270,263,257,201,334,305,0,"IMP4__U3_small_nucleolar_ribonucleoprotein__homolog__yeast","30856","92856","212411_at","."
"IMPA1","IMPA1","AMPL6168400",175,216,189,209,185,189,323,262,0,"inositol_myo_-1_or_4_-monophosphatase_1","6050","3612","203011_at","."
"IMPA2","IMPA2","AMPL25678694",89,102,64,55,55,52,93,82,0,"inositol_myo_-1_or_4_-monophosphatase_2","6051","3613","203126_at","."
"IMPACT","IMPACT","AMPL33358210",125,115,72,55,108,106,91,93,0,"impact_RWD_domain_protein","20387","55364","218637_at,222698_s_at","."
"IMPAD1","IMPAD1","AMPL31186349",549,556,508,497,573,654,601,646,0,"inositol_monophosphatase_domain_containing_1","26019","54928","218516_s_at,222654_at,222655_s_at,224743_at,224744_at","CHONDRODYSPLASIA_WITH_JOINT_DISLOCATIONS__GPAPP_TYPE"
"IMPDH1","IMPDH1","AMPL5097824",252,277,228,217,259,240,179,161,0,"IMP__inosine_5p-monophosphate__dehydrogenase_1","6052","3614","204169_at","LEBER_CONGENITAL_AMAUROSIS_11__LCA11,RETINITIS_PIGMENTOSA_10__RP10"
"IMPDH2","IMPDH2","AMPL3737566",531,587,458,413,485,461,695,690,0,"IMP__inosine_5p-monophosphate__dehydrogenase_2","6053","3615","201892_s_at","."
"INA","INA","AMPL18392642",275,339,506,508,527,443,492,514,0,"internexin_neuronal_intermediate_filament_protein__alpha","6057","9118","204465_s_at","."
"INADL","INADL","AMPL15901678",80,47,40,39,59,72,39,48,0,"InaD-like__Drosophila","28881","10207","214493_s_at,214705_at,223681_s_at,232041_at,240570_at","."
"INCA1","INCA1","AMPL7328364",22,14,16,15,22,15,9,10,0,"inhibitor_of_CDK__cyclin_A1_interacting_protein_1","32224","388324",".","."
"INCENP","INCENP","AMPL4157675",129,68,198,201,164,131,129,153,0,"inner_centromere_protein_antigens_135_155kDa","6058","3619","219769_at,242787_at","."
"INF2","INF2","AMPL35286242",231,174,248,175,153,191,129,105,0,"inverted_formin__FH2_and_WH2_domain_containing","23791","64423","218144_s_at,222534_s_at,222535_at,224469_s_at","CHARCOT-MARIE-TOOTH_DISEASE__DOMINANT_INTERMEDIATE_E__CMTDIE,FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_5__FSGS5"
"ING1","ING1","AMPL29121724",14,12,6,12,11,15,12,11,0,"inhibitor_of_growth_family__member_1","6062","3621","208415_x_at,209808_x_at,210350_x_at","SQUAMOUS_CELL_CARCINOMA__HEAD_AND_NECK__HNSCC"
"ING2","ING2","AMPL11975157",77,74,93,84,68,90,98,104,0,"inhibitor_of_growth_family__member_2","6063","3622","205981_s_at","."
"ING3","ING3","AMPL30796865",32,29,43,21,34,33,46,57,0,"inhibitor_of_growth_family__member_3","14587","54556","205070_at,230719_at,231863_at,242293_at","SQUAMOUS_CELL_CARCINOMA__HEAD_AND_NECK__HNSCC"
"ING4","ING4","AMPL4145714",37,38,75,50,70,61,85,72,0,"inhibitor_of_growth_family__member_4","19423","51147","218234_at,48825_at","."
"ING5","ING5","AMPL13920995",53,50,69,70,40,61,66,64,0,"inhibitor_of_growth_family__member_5","19421","84289","223871_x_at,228287_at,229197_at,241447_at","."
"INHBB","INHBB","AMPL9444177",20,21,35,29,22,23,29,31,0,"inhibin__beta_B","6067","3625","205258_at","."
"INO80","INO80","AMPL30895812",114,151,162,167,164,170,108,113,0,"INO80_complex_subunit","26956","54617","225357_s_at,229356_x_at","."
"INO80B","INO80B","AMPL14828723",229,238,301,303,282,363,261,254,0,"INO80_complex_subunit_B","13324","83444","221251_x_at,222093_s_at,223072_s_at,65133_i_at","."
"INO80C","INO80C","AMPL1217069",71,78,79,76,88,76,129,105,0,"INO80_complex_subunit_C","26994","125476","1559716_at,229582_at","."
"INO80D","INO80D","AMPL30968889",118,115,146,151,134,137,86,80,0,"INO80_complex_subunit_D","25997","54891","220165_at,226555_at,227924_at,227931_at,243070_at","."
"INO80E","INO80E","AMPL15844000",240,238,205,192,274,183,182,173,0,"INO80_complex_subunit_E","26905","283899","227286_at","."
"INPP1","INPP1","AMPL11894349",97,115,74,79,124,91,125,144,0,"inositol_polyphosphate-1-phosphatase","6071","3628","202794_at","."
"INPP4A","INPP4A","AMPL1537901",90,87,80,87,104,76,50,46,0,"inositol_polyphosphate-4-phosphatase__type_I__107kDa","6074","3631","204552_at,204553_x_at,208363_s_at,208364_at,227087_at,235695_at","."
"INPP4B","INPP4B","AMPL3245085",24,19,7,4,15,20,11,14,0,"inositol_polyphosphate-4-phosphatase__type_II__105kDa","6075","8821","205376_at,223878_at,235046_at","."
"INPP5A","INPP5A","AMPL29236536",54,64,61,29,63,57,29,40,0,"inositol_polyphosphate-5-phosphatase__40kDa","6076","3632","1554757_a_at,203006_at","."
"INPP5B","INPP5B","AMPL26898445",31,20,27,39,38,29,25,42,0,"inositol_polyphosphate-5-phosphatase__75kDa","6077","3633","1563565_at,213643_s_at,213804_at","."
"INPP5E","INPP5E","AMPL33780523",22,24,32,19,34,24,12,27,0,"inositol_polyphosphate-5-phosphatase__72_kDa","21474","56623","204706_at","JOUBERT_SYNDROME_1__JBTS1,MENTAL_RETARDATION__TRUNCAL_OBESITY__RETINAL_DYSTROPHY__AND_MICROPENIS"
"INPP5F","INPP5F","AMPL25570931",21,17,12,18,12,23,19,16,0,"inositol_polyphosphate-5-phosphatase_F","17054","22876","203607_at,230362_at,230363_s_at","."
"INPP5K","INPP5K","AMPL31659166",130,126,134,118,167,158,112,107,0,"inositol_polyphosphate-5-phosphatase_K","33882","51763","202781_s_at,202782_s_at","."
"INPPL1","INPPL1","AMPL7942979",313,312,298,238,329,291,175,248,0,"inositol_polyphosphate_phosphatase-like_1","6080","3636","201598_s_at","DIABETES_MELLITUS__NONINSULIN-DEPENDENT__NIDDM,OPSISMODYSPLASIA__OPSMD"
"INSIG1","INSIG1","AMPL28623070",131,137,102,115,168,144,108,139,0,"insulin_induced_gene_1","6083","3638","201625_s_at,201626_at,201627_s_at","."
"INSIG2","INSIG2","AMPL32382100",21,23,22,11,27,24,19,23,0,"insulin_induced_gene_2","20452","51141","209566_at","."
"INSL4","INSL4","AMPL7336036",393,315,371,331,241,353,657,538,0,"insulin-like_4__placenta","6087","3641","206549_at","."
"INSR","INSR","AMPL6441089",14,19,14,18,23,16,8,13,0,"insulin_receptor","6091","3643","207851_s_at,213792_s_at,226212_s_at,226216_at,226450_at","DIABETES_MELLITUS__INSULIN-RESISTANT__WITH_ACANTHOSIS_NIGRICANS,DIABETES_MELLITUS__NONINSULIN-DEPENDENT__NIDDM,DONOHUE_SYNDROME,HYPERINSULINEMIC_HYPOGLYCEMIA__FAMILIAL__5__HHF5,PINEAL_HYPERPLASIA__INSULIN-RESISTANT_DIABETES_MELLITUS__AND_SOMATIC"
"INTS1","INTS1","AMPL5705990",405,369,392,330,420,326,225,222,0,"integrator_complex_subunit_1","24555","26173","212210_at,212212_s_at","."
"INTS10","INTS10","AMPL33007755",160,153,168,183,187,205,205,199,0,"integrator_complex_subunit_10","25548","55174","1560172_at,229632_s_at,237504_at","."
"INTS12","INTS12","AMPL3238021",109,122,136,132,149,143,183,159,0,"integrator_complex_subunit_12","25067","57117","218616_at","."
"INTS2","INTS2","AMPL32669488",108,130,93,89,99,81,71,82,0,"integrator_complex_subunit_2","29241","57508","224308_s_at","."
"INTS3","INTS3","AMPL36775665",101,96,104,88,115,109,68,91,0,"integrator_complex_subunit_3","26153","65123","202809_s_at","."
"INTS4","INTS4","AMPL15789366",104,93,70,43,63,75,92,87,0,"integrator_complex_subunit_4","25048","92105","1553670_at,1569253_at,1569254_s_at,225169_at,233193_x_at","."
"INTS6","INTS6","AMPL12119696",95,93,92,90,95,95,77,91,0,"integrator_complex_subunit_6","14879","26512","1568695_s_at,218819_at,222239_s_at,235283_at","."
"INTS7","INTS7","AMPL26694112",154,201,192,159,163,227,332,246,0,"integrator_complex_subunit_7","24484","25896","218783_at,222250_s_at","."
"INTS8","INTS8","AMPL30769173",165,226,172,177,199,220,183,178,0,"integrator_complex_subunit_8","26048","55656","218905_at","."
"INTS9","INTS9","AMPL7316452",69,52,50,40,51,72,49,65,0,"integrator_complex_subunit_9","25592","55756","203941_at,237286_at","."
"INTU","INTU","AMPL32076315",59,74,54,78,61,77,80,84,0,"inturned_planar_cell_polarity_protein","29239","27152","228946_at","."
"INVS","INVS","AMPL24337740",101,109,99,89,93,116,71,59,0,"inversin","17870","27130","210114_at,211054_at,211055_s_at","NEPHRONOPHTHISIS_2__NPHP2"
"IP6K1","IP6K1","AMPL16460449",101,110,157,141,124,165,111,130,0,"inositol_hexakisphosphate_kinase_1","18360","9807","212439_at,219920_s_at","."
"IP6K2","IP6K2","AMPL835962",74,90,64,79,99,84,82,111,0,"inositol_hexakisphosphate_kinase_2","17313","51447","218192_at,223165_s_at","."
"IPMK","IPMK","AMPL35912342",22,18,10,9,7,18,8,8,0,"inositol_polyphosphate_multikinase","20739","253430","238739_at,239878_at","."
"IPO13","IPO13","AMPL25068978",62,61,35,28,46,36,17,49,0,"importin_13","16853","9670","203546_at","."
"IPO4","IPO4","AMPL14009471",175,205,218,189,195,186,138,121,0,"importin_4","19426","79711","218305_at","."
"IPO5","IPO5","AMPL8550599",260,287,270,283,354,328,257,260,0,"importin_5","6402","3843","211952_at,211953_s_at,211954_s_at,211955_at,236906_x_at","."
"IPO7","IPO7","AMPL28213181",618,661,556,627,560,602,476,551,0,"importin_7","9852","10527","200992_at,200993_at,200994_at,200995_at","."
"IPO8","IPO8","AMPL27986883",269,250,238,265,281,323,243,210,0,"importin_8","9853","10526","205701_at,225528_at","."
"IPO9","IPO9","AMPL33394816",206,217,174,166,194,169,261,213,0,"importin_9","19425","55705","213785_at,217885_at,226674_at,242561_at,244703_x_at","."
"IPP","IPP","AMPL27567517",11,20,12,6,14,11,12,7,0,"intracisternal_A_particle-promoted_polypeptide","6108","3652","1554739_at,1554740_a_at,219843_at,241393_at","."
"IPPK","IPPK","AMPL35184043",47,72,70,58,62,53,54,64,0,"inositol_1_3_4_5_6-pentakisphosphate_2-kinase","14645","64768","219092_s_at,222823_at","."
"IQCB1","IQCB1","AMPL309118",62,82,103,113,78,138,188,247,0,"IQ_motif_containing_B1","28949","9657","205995_x_at,211707_s_at","SENIOR-LOKEN_SYNDROME_5__SLSN5"
"IQCC","IQCC","AMPL6774576",12,5,15,16,24,10,15,14,0,"IQ_motif_containing_C","25545","55721","206650_at","."
"IQCE","IQCE","AMPL35338466",65,92,83,97,106,96,60,63,0,"IQ_motif_containing_E","29171","23288","204202_at,217124_at","."
"IQCG","IQCG","AMPL4677456",24,31,7,15,17,31,31,30,0,"IQ_motif_containing_G","25251","84223","221185_s_at,229161_at","."
"IQCK","IQCK","AMPL17252796",32,38,21,27,29,43,30,41,0,"IQ_motif_containing_K","28556","124152","213392_at,215130_s_at,215131_at,216135_at","."
"IQGAP1","IQGAP1","AMPL27277152",807,806,553,548,861,879,519,594,0,"IQ_motif_containing_GTPase_activating_protein_1","6110","8826","200791_s_at,210840_s_at,213446_s_at","."
"IQGAP2","IQGAP2","AMPL12415347",50,46,35,35,38,47,45,41,0,"IQ_motif_containing_GTPase_activating_protein_2","6111","10788","203474_at","."
"IQGAP3","IQGAP3","AMPL16189301",58,63,64,44,48,63,29,27,0,"IQ_motif_containing_GTPase_activating_protein_3","20669","128239","1569061_at,1569062_s_at,229538_s_at,241939_at","."
"IQSEC2","IQSEC2","AMPL1184927",61,35,32,25,40,36,18,12,0,"IQ_motif_and_Sec7_domain_2","29059","23096","214819_at,229840_at","MENTAL_RETARDATION__X-LINKED_1__MRX1"
"IRAK1","IRAK1","AMPL11860034",127,116,111,92,150,109,78,72,0,"interleukin-1_receptor-associated_kinase_1","6112","3654","1555784_s_at,201587_s_at","."
"IRAK1BP1","IRAK1BP1","AMPL913643",16,24,14,30,14,23,9,22,0,"interleukin-1_receptor-associated_kinase_1_binding_protein_1","17368","134728","1557174_a_at,238599_at","."
"IRAK2","IRAK2","AMPL10031137",51,52,117,74,86,84,97,92,0,"interleukin-1_receptor-associated_kinase_2","6113","3656","1553740_a_at,231779_at","."
"IRAK4","IRAK4","AMPL31141294",12,6,5,6,14,15,11,5,0,"interleukin-1_receptor-associated_kinase_4","17967","51135","219618_at","INVASIVE_PNEUMOCOCCAL_DISEASE__RECURRENT_ISOLATED__1__IPD1,IRAK4_DEFICIENCY"
"IREB2","IREB2","AMPL27127071",656,669,682,724,748,579,585,858,0,"iron-responsive_element_binding_protein_2","6115","3658","1555476_at,214666_x_at,225892_at,242261_at","."
"IRF1","IRF1","AMPL10882953",112,106,429,318,256,215,303,343,0,"interferon_regulatory_factor_1","6116","3659","202531_at,238725_at","GASTRIC_CANCER"
"IRF2","IRF2","AMPL9778622",123,143,195,155,215,172,242,200,0,"interferon_regulatory_factor_2","6117","3660","203275_at","."
"IRF2BP1","IRF2BP1","AMPL31848166",114,106,196,172,111,146,118,123,0,"interferon_regulatory_factor_2_binding_protein_1","21728","26145","213771_at","."
